employee_id,scale_code,score
EMP100077,papi_n,5.0
EMP100078,papi_n,3.0
EMP100079,papi_n,1.0
EMP100080,papi_n,5.0
EMP100081,papi_n,3.0
EMP100082,papi_n,1.0
EMP100083,papi_n,4.0
EMP100084,papi_n,8.0
EMP100085,papi_n,5.0
EMP100086,papi_n,1.0
EMP100087,papi_n,2.0
EMP100088,papi_n,8.0
EMP100089,papi_n,2.0
EMP100090,papi_n,5.0
EMP100091,papi_n,3.0
EMP100092,papi_n,1.0
EMP100093,papi_n,9.0
EMP100094,papi_n,2.0
EMP100095,papi_n,2.0
EMP100096,papi_n,7.0
EMP100097,papi_n,8.0
EMP100098,papi_n,2.0
EMP100099,papi_n,5.0
EMP100100,papi_n,1.0
EMP100101,papi_n,2.0
EMP100102,papi_n,6.0
EMP100103,papi_n,3.0
EMP100104,papi_n,5.0
EMP100105,papi_n,5.0
EMP100106,papi_n,6.0
EMP100107,papi_n,3.0
EMP100108,papi_n,8.0
EMP100109,papi_n,6.0
EMP100110,papi_n,3.0
EMP100111,papi_n,8.0
EMP100112,papi_n,6.0
EMP100113,papi_n,6.0
EMP100114,papi_n,8.0
EMP100115,papi_n,4.0
EMP100116,papi_n,8.0
EMP100117,papi_n,3.0
EMP100118,papi_n,3.0
EMP100119,papi_n,2.0
EMP100120,papi_n,4.0
EMP100121,papi_n,8.0
EMP100122,papi_n,6.0
EMP100123,papi_n,3.0
EMP100124,papi_n,3.0
EMP100125,papi_n,9.0
EMP100126,papi_n,6.0
EMP100127,papi_n,3.0
EMP100128,papi_n,3.0
EMP100129,papi_n,1.0
EMP100130,papi_n,8.0
EMP100131,papi_n,4.0
EMP100132,papi_n,4.0
EMP100133,papi_n,6.0
EMP100134,papi_n,2.0
EMP100135,papi_n,1.0
EMP100136,papi_n,2.0
EMP100137,papi_n,5.0
EMP100138,papi_n,5.0
EMP100139,papi_n,2.0
EMP100140,papi_n,2.0
EMP100141,papi_n,3.0
EMP100142,papi_n,9.0
EMP100143,papi_n,7.0
EMP100144,papi_n,2.0
EMP100145,papi_n,7.0
EMP100146,papi_n,3.0
EMP100147,papi_n,5.0
EMP100148,papi_n,7.0
EMP100149,papi_n,3.0
EMP100150,papi_n,9.0
EMP100151,papi_n,7.0
EMP100152,papi_n,3.0
EMP100153,papi_n,6.0
EMP100154,papi_n,5.0
EMP100155,papi_n,2.0
EMP100156,papi_n,6.0
EMP100157,papi_n,3.0
EMP100158,papi_n,4.0
EMP100159,papi_n,6.0
EMP100160,papi_n,3.0
EMP100161,papi_n,3.0
EMP100162,papi_n,6.0
EMP100163,papi_n,7.0
EMP100164,papi_n,5.0
EMP100165,papi_n,5.0
EMP100166,papi_n,2.0
EMP100167,papi_n,1.0
EMP100168,papi_n,4.0
EMP100169,papi_n,3.0
EMP100170,papi_n,7.0
EMP100171,papi_n,8.0
EMP100172,papi_n,1.0
EMP100173,papi_n,2.0
EMP100174,papi_n,4.0
EMP100175,papi_n,4.0
EMP100176,papi_n,1.0
EMP100177,papi_n,8.0
EMP100178,papi_n,5.0
EMP100179,papi_n,9.0
EMP100180,papi_n,2.0
EMP100181,papi_n,3.0
EMP100182,papi_n,9.0
EMP100183,papi_n,9.0
EMP100184,papi_n,5.0
EMP100185,papi_n,3.0
EMP100186,papi_n,9.0
EMP100187,papi_n,8.0
EMP100188,papi_n,5.0
EMP100189,papi_n,5.0
EMP100190,papi_n,7.0
EMP100191,papi_n,8.0
EMP100192,papi_n,4.0
EMP100193,papi_n,1.0
EMP100194,papi_n,9.0
EMP100195,papi_n,6.0
EMP100196,papi_n,8.0
EMP100197,papi_n,3.0
EMP100198,papi_n,5.0
EMP100199,papi_n,9.0
EMP100200,papi_n,5.0
EMP100201,papi_n,3.0
EMP100202,papi_n,5.0
EMP100203,papi_n,3.0
EMP100204,papi_n,2.0
EMP100205,papi_n,9.0
EMP100206,papi_n,9.0
EMP100207,papi_n,4.0
EMP100208,papi_n,5.0
EMP100209,papi_n,5.0
EMP100210,papi_n,5.0
EMP100211,papi_n,2.0
EMP100212,papi_n,7.0
EMP100213,papi_n,5.0
EMP100214,papi_n,2.0
EMP100215,papi_n,9.0
EMP100216,papi_n,3.0
EMP100217,papi_n,5.0
EMP100218,papi_n,1.0
EMP100219,papi_n,1.0
EMP100220,papi_n,5.0
EMP100221,papi_n,6.0
EMP100222,papi_n,9.0
EMP100223,papi_n,5.0
EMP100224,papi_n,1.0
EMP100225,papi_n,9.0
EMP100226,papi_n,7.0
EMP100227,papi_n,5.0
EMP100228,papi_n,7.0
EMP100229,papi_n,7.0
EMP100230,papi_n,3.0
EMP100231,papi_n,1.0
EMP100232,papi_n,8.0
EMP100233,papi_n,6.0
EMP100234,papi_n,6.0
EMP100235,papi_n,5.0
EMP100236,papi_n,8.0
EMP100237,papi_n,9.0
EMP100238,papi_n,2.0
EMP100239,papi_n,8.0
EMP100240,papi_n,6.0
EMP100241,papi_n,2.0
EMP100242,papi_n,5.0
EMP100243,papi_n,1.0
EMP100244,papi_n,5.0
EMP100245,papi_n,5.0
EMP100246,papi_n,5.0
EMP100247,papi_n,7.0
EMP100248,papi_n,5.0
EMP100249,papi_n,5.0
EMP100250,papi_n,8.0
EMP100251,papi_n,5.0
EMP100252,papi_n,7.0
EMP100253,papi_n,5.0
EMP100254,papi_n,4.0
EMP100255,papi_n,9.0
EMP100256,papi_n,2.0
EMP100257,papi_n,5.0
EMP100258,papi_n,7.0
EMP100259,papi_n,1.0
EMP100260,papi_n,3.0
EMP100261,papi_n,3.0
EMP100262,papi_n,2.0
EMP100263,papi_n,1.0
EMP100264,papi_n,1.0
EMP100265,papi_n,4.0
EMP100266,papi_n,3.0
EMP100267,papi_n,3.0
EMP100268,papi_n,7.0
EMP100269,papi_n,4.0
EMP100270,papi_n,2.0
EMP100271,papi_n,9.0
EMP100272,papi_n,7.0
EMP100273,papi_n,6.0
EMP100274,papi_n,8.0
EMP100275,papi_n,7.0
EMP100276,papi_n,5.0
EMP100277,papi_n,8.0
EMP100278,papi_n,6.0
EMP100279,papi_n,4.0
EMP100280,papi_n,5.0
EMP100281,papi_n,3.0
EMP100282,papi_n,5.0
EMP100283,papi_n,7.0
EMP100284,papi_n,7.0
EMP100285,papi_n,4.0
EMP100286,papi_n,5.0
EMP100287,papi_n,4.0
EMP100288,papi_n,4.0
EMP100289,papi_n,6.0
EMP100290,papi_n,4.0
EMP100291,papi_n,5.0
EMP100292,papi_n,1.0
EMP100293,papi_n,2.0
EMP100294,papi_n,1.0
EMP100295,papi_n,4.0
EMP100296,papi_n,5.0
EMP100297,papi_n,6.0
EMP100298,papi_n,5.0
EMP100299,papi_n,8.0
EMP100300,papi_n,9.0
EMP100301,papi_n,3.0
EMP100302,papi_n,5.0
EMP100303,papi_n,6.0
EMP100304,papi_n,8.0
EMP100305,papi_n,1.0
EMP100306,papi_n,3.0
EMP100307,papi_n,1.0
EMP100308,papi_n,1.0
EMP100309,papi_n,3.0
EMP100310,papi_n,8.0
EMP100311,papi_n,7.0
EMP100312,papi_n,6.0
EMP100313,papi_n,8.0
EMP100314,papi_n,1.0
EMP100315,papi_n,7.0
EMP100316,papi_n,4.0
EMP100317,papi_n,9.0
EMP100318,papi_n,9.0
EMP100319,papi_n,3.0
EMP100320,papi_n,7.0
EMP100321,papi_n,1.0
EMP100322,papi_n,5.0
EMP100323,papi_n,3.0
EMP100324,papi_n,4.0
EMP100325,papi_n,7.0
EMP100326,papi_n,1.0
EMP100327,papi_n,8.0
EMP100328,papi_n,4.0
EMP100329,papi_n,5.0
EMP100330,papi_n,6.0
EMP100331,papi_n,3.0
EMP100332,papi_n,1.0
EMP100333,papi_n,3.0
EMP100334,papi_n,6.0
EMP100335,papi_n,2.0
EMP100336,papi_n,6.0
EMP100337,papi_n,7.0
EMP100338,papi_n,6.0
EMP100339,papi_n,2.0
EMP100340,papi_n,7.0
EMP100341,papi_n,4.0
EMP100342,papi_n,8.0
EMP100343,papi_n,6.0
EMP100344,papi_n,5.0
EMP100345,papi_n,3.0
EMP100346,papi_n,4.0
EMP100347,papi_n,6.0
EMP100348,papi_n,2.0
EMP100349,papi_n,1.0
EMP100350,papi_n,2.0
EMP100351,papi_n,2.0
EMP100352,papi_n,5.0
EMP100353,papi_n,5.0
EMP100354,papi_n,5.0
EMP100355,papi_n,1.0
EMP100356,papi_n,9.0
EMP100357,papi_n,4.0
EMP100358,papi_n,1.0
EMP100359,papi_n,2.0
EMP100360,papi_n,5.0
EMP100361,papi_n,9.0
EMP100362,papi_n,4.0
EMP100363,papi_n,7.0
EMP100364,papi_n,4.0
EMP100365,papi_n,9.0
EMP100366,papi_n,4.0
EMP100367,papi_n,9.0
EMP100368,papi_n,3.0
EMP100369,papi_n,4.0
EMP100370,papi_n,9.0
EMP100371,papi_n,7.0
EMP100372,papi_n,3.0
EMP100373,papi_n,5.0
EMP100374,papi_n,2.0
EMP100375,papi_n,9.0
EMP100376,papi_n,4.0
EMP100377,papi_n,2.0
EMP100378,papi_n,5.0
EMP100379,papi_n,9.0
EMP100380,papi_n,3.0
EMP100381,papi_n,2.0
EMP100382,papi_n,4.0
EMP100383,papi_n,9.0
EMP100384,papi_n,1.0
EMP100385,papi_n,5.0
EMP100386,papi_n,5.0
EMP100387,papi_n,9.0
EMP100388,papi_n,5.0
EMP100389,papi_n,7.0
EMP100390,papi_n,2.0
EMP100391,papi_n,8.0
EMP100392,papi_n,7.0
EMP100393,papi_n,4.0
EMP100394,papi_n,9.0
EMP100395,papi_n,6.0
EMP100396,papi_n,1.0
EMP100397,papi_n,7.0
EMP100398,papi_n,5.0
EMP100399,papi_n,7.0
EMP100400,papi_n,7.0
EMP100401,papi_n,4.0
EMP100402,papi_n,5.0
EMP100403,papi_n,2.0
EMP100404,papi_n,5.0
EMP100405,papi_n,6.0
EMP100406,papi_n,2.0
EMP100407,papi_n,4.0
EMP100408,papi_n,3.0
EMP100409,papi_n,6.0
EMP100410,papi_n,9.0
EMP100411,papi_n,3.0
EMP100412,papi_n,3.0
EMP100413,papi_n,8.0
EMP100414,papi_n,8.0
EMP100415,papi_n,5.0
EMP100416,papi_n,5.0
EMP100417,papi_n,5.0
EMP100418,papi_n,9.0
EMP100419,papi_n,7.0
EMP100420,papi_n,7.0
EMP100421,papi_n,2.0
EMP100422,papi_n,4.0
EMP100423,papi_n,2.0
EMP100424,papi_n,8.0
EMP100425,papi_n,3.0
EMP100426,papi_n,8.0
EMP100427,papi_n,5.0
EMP100428,papi_n,7.0
EMP100429,papi_n,8.0
EMP100430,papi_n,2.0
EMP100431,papi_n,4.0
EMP100432,papi_n,5.0
EMP100433,papi_n,4.0
EMP100434,papi_n,1.0
EMP100435,papi_n,5.0
EMP100436,papi_n,5.0
EMP100437,papi_n,9.0
EMP100438,papi_n,5.0
EMP100439,papi_n,5.0
EMP100440,papi_n,9.0
EMP100441,papi_n,9.0
EMP100442,papi_n,4.0
EMP100443,papi_n,5.0
EMP100444,papi_n,7.0
EMP100445,papi_n,2.0
EMP100446,papi_n,3.0
EMP100447,papi_n,6.0
EMP100448,papi_n,2.0
EMP100449,papi_n,7.0
EMP100450,papi_n,9.0
EMP100451,papi_n,6.0
EMP100452,papi_n,6.0
EMP100453,papi_n,5.0
EMP100454,papi_n,5.0
EMP100455,papi_n,9.0
EMP100456,papi_n,7.0
EMP100457,papi_n,7.0
EMP100458,papi_n,2.0
EMP100459,papi_n,9.0
EMP100460,papi_n,7.0
EMP100461,papi_n,7.0
EMP100462,papi_n,1.0
EMP100463,papi_n,7.0
EMP100464,papi_n,1.0
EMP100465,papi_n,1.0
EMP100466,papi_n,1.0
EMP100467,papi_n,9.0
EMP100468,papi_n,8.0
EMP100469,papi_n,5.0
EMP100470,papi_n,7.0
EMP100471,papi_n,7.0
EMP100472,papi_n,5.0
EMP100473,papi_n,1.0
EMP100474,papi_n,8.0
EMP100475,papi_n,5.0
EMP100476,papi_n,4.0
EMP100477,papi_n,5.0
EMP100478,papi_n,3.0
EMP100479,papi_n,5.0
EMP100480,papi_n,5.0
EMP100481,papi_n,3.0
EMP100482,papi_n,2.0
EMP100483,papi_n,8.0
EMP100484,papi_n,9.0
EMP100485,papi_n,7.0
EMP100486,papi_n,5.0
EMP100487,papi_n,5.0
EMP100488,papi_n,2.0
EMP100489,papi_n,1.0
EMP100490,papi_n,5.0
EMP100491,papi_n,4.0
EMP100492,papi_n,1.0
EMP100493,papi_n,3.0
EMP100494,papi_n,4.0
EMP100495,papi_n,4.0
EMP100496,papi_n,6.0
EMP100497,papi_n,1.0
EMP100498,papi_n,3.0
EMP100499,papi_n,6.0
EMP100500,papi_n,3.0
EMP100501,papi_n,7.0
EMP100502,papi_n,9.0
EMP100503,papi_n,1.0
EMP100504,papi_n,6.0
EMP100505,papi_n,4.0
EMP100506,papi_n,1.0
EMP100507,papi_n,8.0
EMP100508,papi_n,5.0
EMP100509,papi_n,5.0
EMP100510,papi_n,6.0
EMP100511,papi_n,9.0
EMP100512,papi_n,4.0
EMP100513,papi_n,2.0
EMP100514,papi_n,6.0
EMP100515,papi_n,3.0
EMP100516,papi_n,3.0
EMP100517,papi_n,6.0
EMP100518,papi_n,4.0
EMP100519,papi_n,4.0
EMP100520,papi_n,2.0
EMP100521,papi_n,5.0
EMP100522,papi_n,6.0
EMP100523,papi_n,6.0
EMP100524,papi_n,9.0
EMP100525,papi_n,3.0
EMP100526,papi_n,4.0
EMP100527,papi_n,5.0
EMP100528,papi_n,4.0
EMP100529,papi_n,2.0
EMP100530,papi_n,4.0
EMP100531,papi_n,5.0
EMP100532,papi_n,8.0
EMP100533,papi_n,1.0
EMP100534,papi_n,6.0
EMP100535,papi_n,6.0
EMP100536,papi_n,9.0
EMP100537,papi_n,3.0
EMP100538,papi_n,2.0
EMP100539,papi_n,9.0
EMP100540,papi_n,4.0
EMP100541,papi_n,4.0
EMP100542,papi_n,4.0
EMP100543,papi_n,2.0
EMP100544,papi_n,5.0
EMP100545,papi_n,3.0
EMP100546,papi_n,2.0
EMP100547,papi_n,5.0
EMP100548,papi_n,3.0
EMP100549,papi_n,6.0
EMP100550,papi_n,9.0
EMP100551,papi_n,7.0
EMP100552,papi_n,7.0
EMP100553,papi_n,2.0
EMP100554,papi_n,6.0
EMP100555,papi_n,4.0
EMP100556,papi_n,3.0
EMP100557,papi_n,9.0
EMP100558,papi_n,8.0
EMP100559,papi_n,5.0
EMP100560,papi_n,1.0
EMP100561,papi_n,9.0
EMP100562,papi_n,6.0
EMP100563,papi_n,1.0
EMP100564,papi_n,7.0
EMP100565,papi_n,6.0
EMP100566,papi_n,5.0
EMP100567,papi_n,5.0
EMP100568,papi_n,8.0
EMP100569,papi_n,6.0
EMP100570,papi_n,4.0
EMP100571,papi_n,9.0
EMP100572,papi_n,8.0
EMP100573,papi_n,1.0
EMP100574,papi_n,4.0
EMP100575,papi_n,6.0
EMP100576,papi_n,9.0
EMP100577,papi_n,9.0
EMP100578,papi_n,4.0
EMP100579,papi_n,5.0
EMP100580,papi_n,7.0
EMP100581,papi_n,7.0
EMP100582,papi_n,6.0
EMP100583,papi_n,9.0
EMP100584,papi_n,2.0
EMP100585,papi_n,7.0
EMP100586,papi_n,6.0
EMP100587,papi_n,8.0
EMP100588,papi_n,3.0
EMP100589,papi_n,9.0
EMP100590,papi_n,6.0
EMP100591,papi_n,4.0
EMP100592,papi_n,9.0
EMP100593,papi_n,5.0
EMP100594,papi_n,4.0
EMP100595,papi_n,8.0
EMP100596,papi_n,2.0
EMP100597,papi_n,3.0
EMP100598,papi_n,3.0
EMP100599,papi_n,8.0
EMP100600,papi_n,2.0
EMP100601,papi_n,9.0
EMP100602,papi_n,2.0
EMP100603,papi_n,4.0
EMP100604,papi_n,7.0
EMP100605,papi_n,5.0
EMP100606,papi_n,3.0
EMP100607,papi_n,7.0
EMP100608,papi_n,5.0
EMP100609,papi_n,2.0
EMP100610,papi_n,3.0
EMP100611,papi_n,3.0
EMP100612,papi_n,2.0
EMP100613,papi_n,8.0
EMP100614,papi_n,7.0
EMP100615,papi_n,2.0
EMP100616,papi_n,6.0
EMP100617,papi_n,8.0
EMP100618,papi_n,3.0
EMP100619,papi_n,1.0
EMP100620,papi_n,5.0
EMP100621,papi_n,7.0
EMP100622,papi_n,6.0
EMP100623,papi_n,7.0
EMP100624,papi_n,2.0
EMP100625,papi_n,7.0
EMP100626,papi_n,7.0
EMP100627,papi_n,5.0
EMP100628,papi_n,5.0
EMP100629,papi_n,1.0
EMP100630,papi_n,5.0
EMP100631,papi_n,4.0
EMP100632,papi_n,6.0
EMP100633,papi_n,6.0
EMP100634,papi_n,3.0
EMP100635,papi_n,2.0
EMP100636,papi_n,8.0
EMP100637,papi_n,9.0
EMP100638,papi_n,7.0
EMP100639,papi_n,2.0
EMP100640,papi_n,4.0
EMP100641,papi_n,6.0
EMP100642,papi_n,5.0
EMP100643,papi_n,3.0
EMP100644,papi_n,7.0
EMP100645,papi_n,9.0
EMP100646,papi_n,6.0
EMP100647,papi_n,4.0
EMP100648,papi_n,8.0
EMP100649,papi_n,3.0
EMP100650,papi_n,3.0
EMP100651,papi_n,5.0
EMP100652,papi_n,4.0
EMP100653,papi_n,3.0
EMP100654,papi_n,4.0
EMP100655,papi_n,5.0
EMP100656,papi_n,6.0
EMP100657,papi_n,8.0
EMP100658,papi_n,9.0
EMP100659,papi_n,1.0
EMP100660,papi_n,5.0
EMP100661,papi_n,1.0
EMP100662,papi_n,8.0
EMP100663,papi_n,1.0
EMP100664,papi_n,4.0
EMP100665,papi_n,2.0
EMP100666,papi_n,6.0
EMP100667,papi_n,5.0
EMP100668,papi_n,3.0
EMP100669,papi_n,2.0
EMP100670,papi_n,5.0
EMP100671,papi_n,9.0
EMP100672,papi_n,7.0
EMP100673,papi_n,3.0
EMP100674,papi_n,1.0
EMP100675,papi_n,2.0
EMP100676,papi_n,1.0
EMP100677,papi_n,3.0
EMP100678,papi_n,5.0
EMP100679,papi_n,4.0
EMP100680,papi_n,9.0
EMP100681,papi_n,8.0
EMP100682,papi_n,6.0
EMP100683,papi_n,1.0
EMP100684,papi_n,9.0
EMP100685,papi_n,2.0
EMP100686,papi_n,3.0
EMP100687,papi_n,3.0
EMP100688,papi_n,3.0
EMP100689,papi_n,5.0
EMP100690,papi_n,7.0
EMP100691,papi_n,6.0
EMP100692,papi_n,6.0
EMP100693,papi_n,1.0
EMP100694,papi_n,7.0
EMP100695,papi_n,9.0
EMP100696,papi_n,4.0
EMP100697,papi_n,3.0
EMP100698,papi_n,5.0
EMP100699,papi_n,3.0
EMP100700,papi_n,1.0
EMP100701,papi_n,9.0
EMP100702,papi_n,1.0
EMP100703,papi_n,1.0
EMP100704,papi_n,2.0
EMP100705,papi_n,6.0
EMP100706,papi_n,8.0
EMP100707,papi_n,4.0
EMP100708,papi_n,7.0
EMP100709,papi_n,7.0
EMP100710,papi_n,5.0
EMP100711,papi_n,5.0
EMP100712,papi_n,4.0
EMP100713,papi_n,5.0
EMP100714,papi_n,4.0
EMP100715,papi_n,9.0
EMP100716,papi_n,3.0
EMP100717,papi_n,5.0
EMP100718,papi_n,1.0
EMP100719,papi_n,4.0
EMP100720,papi_n,1.0
EMP100721,papi_n,4.0
EMP100722,papi_n,1.0
EMP100723,papi_n,2.0
EMP100724,papi_n,5.0
EMP100725,papi_n,2.0
EMP100726,papi_n,1.0
EMP100727,papi_n,2.0
EMP100728,papi_n,2.0
EMP100729,papi_n,7.0
EMP100730,papi_n,4.0
EMP100731,papi_n,2.0
EMP100732,papi_n,9.0
EMP100733,papi_n,6.0
EMP100734,papi_n,3.0
EMP100735,papi_n,5.0
EMP100736,papi_n,3.0
EMP100737,papi_n,7.0
EMP100738,papi_n,5.0
EMP100739,papi_n,4.0
EMP100740,papi_n,8.0
EMP100741,papi_n,7.0
EMP100742,papi_n,4.0
EMP100743,papi_n,4.0
EMP100744,papi_n,5.0
EMP100745,papi_n,6.0
EMP100746,papi_n,9.0
EMP100747,papi_n,5.0
EMP100748,papi_n,4.0
EMP100749,papi_n,7.0
EMP100750,papi_n,1.0
EMP100751,papi_n,4.0
EMP100752,papi_n,3.0
EMP100753,papi_n,2.0
EMP100754,papi_n,8.0
EMP100755,papi_n,5.0
EMP100756,papi_n,7.0
EMP100757,papi_n,1.0
EMP100758,papi_n,7.0
EMP100759,papi_n,8.0
EMP100760,papi_n,8.0
EMP100761,papi_n,4.0
EMP100762,papi_n,8.0
EMP100763,papi_n,3.0
EMP100764,papi_n,9.0
EMP100765,papi_n,1.0
EMP100766,papi_n,7.0
EMP100767,papi_n,7.0
EMP100768,papi_n,3.0
EMP100769,papi_n,1.0
EMP100770,papi_n,6.0
EMP100771,papi_n,1.0
EMP100772,papi_n,2.0
EMP100773,papi_n,1.0
EMP100774,papi_n,1.0
EMP100775,papi_n,5.0
EMP100776,papi_n,5.0
EMP100777,papi_n,5.0
EMP100778,papi_n,6.0
EMP100779,papi_n,8.0
EMP100780,papi_n,5.0
EMP100781,papi_n,5.0
EMP100782,papi_n,3.0
EMP100783,papi_n,3.0
EMP100784,papi_n,7.0
EMP100785,papi_n,1.0
EMP100786,papi_n,2.0
EMP100787,papi_n,5.0
EMP100788,papi_n,4.0
EMP100789,papi_n,6.0
EMP100790,papi_n,5.0
EMP100791,papi_n,3.0
EMP100792,papi_n,3.0
EMP100793,papi_n,1.0
EMP100794,papi_n,9.0
EMP100795,papi_n,4.0
EMP100796,papi_n,3.0
EMP100797,papi_n,5.0
EMP100798,papi_n,9.0
EMP100799,papi_n,9.0
EMP100800,papi_n,7.0
EMP100801,papi_n,4.0
EMP100802,papi_n,5.0
EMP100803,papi_n,4.0
EMP100804,papi_n,2.0
EMP100805,papi_n,7.0
EMP100806,papi_n,4.0
EMP100807,papi_n,9.0
EMP100808,papi_n,7.0
EMP100809,papi_n,4.0
EMP100810,papi_n,6.0
EMP100811,papi_n,4.0
EMP100812,papi_n,9.0
EMP100813,papi_n,7.0
EMP100814,papi_n,2.0
EMP100815,papi_n,5.0
EMP100816,papi_n,8.0
EMP100817,papi_n,7.0
EMP100818,papi_n,5.0
EMP100819,papi_n,4.0
EMP100820,papi_n,6.0
EMP100821,papi_n,5.0
EMP100822,papi_n,3.0
EMP100823,papi_n,1.0
EMP100824,papi_n,6.0
EMP100825,papi_n,5.0
EMP100826,papi_n,7.0
EMP100827,papi_n,6.0
EMP100828,papi_n,8.0
EMP100829,papi_n,3.0
EMP100830,papi_n,9.0
EMP100831,papi_n,3.0
EMP100832,papi_n,4.0
EMP100833,papi_n,8.0
EMP100834,papi_n,8.0
EMP100835,papi_n,6.0
EMP100836,papi_n,2.0
EMP100837,papi_n,6.0
EMP100838,papi_n,8.0
EMP100839,papi_n,6.0
EMP100840,papi_n,8.0
EMP100841,papi_n,2.0
EMP100842,papi_n,1.0
EMP100843,papi_n,4.0
EMP100844,papi_n,3.0
EMP100845,papi_n,9.0
EMP100846,papi_n,5.0
EMP100847,papi_n,4.0
EMP100848,papi_n,2.0
EMP100849,papi_n,5.0
EMP100850,papi_n,8.0
EMP100851,papi_n,6.0
EMP100852,papi_n,9.0
EMP100853,papi_n,1.0
EMP100854,papi_n,7.0
EMP100855,papi_n,5.0
EMP100856,papi_n,5.0
EMP100857,papi_n,9.0
EMP100858,papi_n,8.0
EMP100859,papi_n,9.0
EMP100860,papi_n,3.0
EMP100861,papi_n,9.0
EMP100862,papi_n,8.0
EMP100863,papi_n,4.0
EMP100864,papi_n,1.0
EMP100865,papi_n,5.0
EMP100866,papi_n,9.0
EMP100867,papi_n,9.0
EMP100868,papi_n,2.0
EMP100869,papi_n,4.0
EMP100870,papi_n,9.0
EMP100871,papi_n,9.0
EMP100872,papi_n,5.0
EMP100873,papi_n,6.0
EMP100874,papi_n,5.0
EMP100875,papi_n,4.0
EMP100876,papi_n,3.0
EMP100877,papi_n,4.0
EMP100878,papi_n,9.0
EMP100879,papi_n,5.0
EMP100880,papi_n,6.0
EMP100881,papi_n,8.0
EMP100882,papi_n,6.0
EMP100883,papi_n,6.0
EMP100884,papi_n,8.0
EMP100885,papi_n,7.0
EMP100886,papi_n,8.0
EMP100887,papi_n,9.0
EMP100888,papi_n,9.0
EMP100889,papi_n,3.0
EMP100890,papi_n,6.0
EMP100891,papi_n,5.0
EMP100892,papi_n,7.0
EMP100893,papi_n,7.0
EMP100894,papi_n,4.0
EMP100895,papi_n,1.0
EMP100896,papi_n,9.0
EMP100897,papi_n,6.0
EMP100898,papi_n,8.0
EMP100899,papi_n,2.0
EMP100900,papi_n,6.0
EMP100901,papi_n,8.0
EMP100902,papi_n,6.0
EMP100903,papi_n,7.0
EMP100904,papi_n,3.0
EMP100905,papi_n,7.0
EMP100906,papi_n,2.0
EMP100907,papi_n,5.0
EMP100908,papi_n,6.0
EMP100909,papi_n,8.0
EMP100910,papi_n,5.0
EMP100911,papi_n,8.0
EMP100912,papi_n,1.0
EMP100913,papi_n,2.0
EMP100914,papi_n,7.0
EMP100915,papi_n,7.0
EMP100916,papi_n,1.0
EMP100917,papi_n,9.0
EMP100918,papi_n,1.0
EMP100919,papi_n,2.0
EMP100920,papi_n,8.0
EMP100921,papi_n,1.0
EMP100922,papi_n,3.0
EMP100923,papi_n,5.0
EMP100924,papi_n,2.0
EMP100925,papi_n,7.0
EMP100926,papi_n,9.0
EMP100927,papi_n,6.0
EMP100928,papi_n,4.0
EMP100929,papi_n,7.0
EMP100930,papi_n,2.0
